名次,用户名,分数,时间
1,000,2810,30-04-2022 07:55:39
2,000,2230,28-04-2022 08:11:39
3,99,1920,27-04-2022 11:05:37
4,00,1210,28-04-2022 08:21:14
5,333,940,27-04-2022 13:11:49
6,000,940,28-04-2022 08:16:57
7,999,760,27-04-2022 21:56:47
8,33,700,30-04-2022 21:06:01
9,1,590,27-04-2022 22:11:37
10,99,580,27-04-2022 13:13:57
11,333,550,27-04-2022 11:25:31
12,11,440,05-05-2022 09:25:07
13,777,420,27-04-2022 22:01:45
14,99,320,27-04-2022 13:25:32
15,1,220,05-05-2022 13:23:31
16,666,180,30-04-2022 21:02:49
17,3,150,04-05-2022 18:33:42
18,555,140,26-04-2022 22:30:31
19,user,120,26-04-2022 20:49:50
20,user,100,26-04-2022 20:54:23
21,11,100,05-05-2022 09:24:11
22,1,80,04-05-2022 18:27:32
23,user,60,26-04-2022 20:47:59
24,333,50,26-04-2022 22:26:12
25,777,50,26-04-2022 22:34:06
26,1,50,05-05-2022 09:40:41
27,5,40,05-05-2022 09:34:21
28,22,0,30-04-2022 16:49:51
